CONCEPT,DEFINITION
Carbon factor,"Carbon factor is ‘the factor that is applied to electricity that is consumed by buildings, to understand that carbon emissions associated with the electricity use. The carbon factor of the UK grid changes throughout the day and the seasons depending on how much renewable energy is being generated.’"
Emissions,"Emissions are substances that are emitted;[2] in an energy sense, these are most often waste products of a process aimed at obtaining useful work. The most common emissions from energy are associated with the generation of electricity and the transportation of people and goods. The specific chemical nature of the emissions depends on how those tasks were done."
Energy efficiency and renewable energy,Energy efficiency is the use of less energy to perform the same task or produce the same result. Renewable energy is energy that is collected from renewable resources that are naturally replenished on a human timescale.
Waste management,"Waste management (or waste disposal) includes the processes and actions required to manage waste from its inception to its final disposal.[1] This includes the collection, transport, treatment and disposal of waste, together with monitoring and regulation of the waste management process and waste-related laws, technologies, economic mechanisms."
Water & waste-water management,"The goal of wastewater management is to clean and protect water. This means that water must be clean enough so that it can be used by people for drinking and washing, and by industry for commercial purposes. It also must be clean enough to release into oceans, lakes, and rivers after it has been used."
Biodiversity,"Biodiversity is the biological variety and variability of life on Earth. Biodiversity is a measure of variation at the genetic, species, and ecosystem level. Terrestrial biodiversity is usually greater near the equator, which is the result of the warm climate and high primary productivity"
Sustainable Transport,"Sustainable transport refers to ways of transportation that are sustainable in terms of their social and environmental impacts. Components for evaluating sustainability include the particular vehicles used for road, water or air transport; the source of energy; and the infrastructure used to accommodate the transport."
Sustainable Food & Agriculture,"Sustainable agriculture is farming in sustainable ways meeting society's present food and textile needs, without compromising the ability for current or future generations to meet their needs. It can be based on an understanding of ecosystem services."
circular economy,"A circular economy is ""a model of production and consumption, which involves sharing, leasing, reusing, repairing, refurbishing and recycling existing materials and products as long as possible""."
Employee development,Employee development is a process of improving employees' existing competencies and skills and developing newer ones to support the organization's goals.
Recruiting and retaining employees (incl. work-life balance),"Employee Recruitment alludes to the overall process of drawing in, shortlisting, choosing and delegating appropriate possibility for employments (either lasting or transitory) inside an association. Employee retention refers to the ability of an organization to retain its employees. Employee retention can be represented by a simple statistic."
Future of work,"The future of work describes changes in how work will get done over the next decade, influenced by technological, generational and social shifts."
Employee engagement,"Employee engagement is a fundamental concept in the effort to understand and describe, both qualitatively and quantitatively, the nature of the relationship between an organization and its employees."
Injury frequency rate,"An injury frequency rate is the number of injuries per 1,000,000 employee-hours worked. It is an indicator of the state of health and safety at a workplace. It provides an idea about the organization's efforts to protect the workers from work related hazards."
Injury frequency rate for subcontracted labour,"The number of injuries per 1,000,000 employee-hours worked for workers appointed from outside of a company to perform specific parts of a contract or project"
Community,"A community is a social unit with commonality such as place, norms, religion, values, customs, or identity. Communities may share a sense of place situated in a given geographical area or in virtual space through communication platforms. "
Human Rights,Human rights are moral principles or norms for certain standards of human behaviour and are regularly protected in municipal and international law.
Product Responsibility,product responsibility is the need to supply high-quality as well as safe products and solutions
Board Independence,Independence occurs when a board member has not been and is not currently employed by the company or its auditor and the board member’s employer doesn’t do a significant amount of business with the company.
Board Make-Up,"Governing body of a company, elected by shareholders to set strategy and oversee management"
Audit Oversight,Audit oversight refers to the verification and checking of the reported financial results of an organization by external and internal review.
Shareholder rights,"“Shareholder rights” means the bundle of rights which a shareholder possesses by virtue of part or total ownership of shares. Such rights can vary according to types of owners, types of shares, and also other contractual rights, which may attach to shares or may stem from a separate contractual right."
Executive compensation,Executive compensation is composed of both the financial compensation and other non-financial benefits received by an executive from their employing firm in return for their service.
SHARE CAPITAL,"A corporation's share capital, commonly referred to as capital stock in the United States, is the portion of a corporation's equity that has been derived by the issue of shares in the corporation to a shareholder, usually for cash. "
Diversity & Inclusion,"In the simplest of terms, diversity and inclusion encompass a group of unique individuals who acquaint and integrate with one another, but each are entirely different concepts with separate benefits. Workplaces that prioritize diversity and inclusion efforts have been statistically proven to be safer, happier and more productive work environments."
