concept,term
Carbon factor, low-carbon
Carbon factor,carbon footprint
Carbon factor,lower-carbon economy
Carbon factor,carbon data
Carbon factor,carbon values
Carbon factor,Carbon figures in funds
Carbon factor,Carbon intensity
Carbon factor,carbon impact
Carbon factor,net-zero-carbon
Carbon factor,carbon-intensive sectors
Carbon factor,Low-Carbon Tilt
Carbon factor,carbon-transition projects
Carbon factor,carbon offset
Carbon factor,carbon commitment
Carbon factor,carbon-removal technology
Carbon factor,low-carbon transition
Carbon factor,carbon markets
Carbon factor,Renewable Energy Guarantees Origin (GO)
Carbon factor,hydrogen
Emissions,Greenhouse gas emissions
Emissions,"management of GHG emissions
greenhouse gas"
Emissions,Greenhouse Gas (GHG) Emissions
Emissions,Scope 1
Emissions,Scope 2
Emissions,Coal
Emissions,Fossil
Emissions,cooling
Emissions,fuel oil
Emissions,Air quality
Emissions,energy transition
Emissions,renewable electricity
Emissions,reduction of atmospheric emissions
Emissions,Total CO2 Equivalent Emissions To Revenues USD in million
Emissions,Environmental Expenditures Investments
Emissions,Policy Emissions
Emissions,Targets Emissions
Emissions,CO2 Equivalent Emissions Total
Emissions,"CO2 Equivalent Emissions Direct, Scope 1"
Emissions,"CO2 Equivalent Emissions Indirect, Scope 2"
Emissions,Flaring Gases
Emissions,NOx Emissions
Emissions,SOx Emissions
Emissions,VOC Emissions Reduction
Emissions,Particulate Matter Emissions Reduction
Emissions,VOC Emissions
Emissions,Emissions Trading
Emissions,Environmental Partnerships
Emissions,Flaring Gases To Revenues USD in million
Emissions,Ozone-Depleting Substances To Revenues USD in million
Emissions,SOx Emissions To Revenues USD in million
Emissions,VOC Emissions To Revenues USD in million
Emissions,Accidental Spills To Revenues USD in million
Emissions,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million"
Emissions,Self-Reported Environmental Fines To Revenues in million
Emissions,Self-Reported Environmental Fines
Emissions,Estimated CO2 Equivalents Emission Total
Emissions,CO2 estimation method
Emissions,Carbon Offsets/Credits
Energy efficiency and renewable energy,ISO 14000 or EMS
